,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,time,rel_error,matrix budget,total budget,revealed
420,0,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,506.32881478592753,0.0001304613195658,35932,87727,0.010965875
421,1,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,502.9364276081324,0.0006764524847188,35932,87717,0.010964625
422,2,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.0355669464916,0.0004084923226709,35932,87714,0.01096425
423,3,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,509.1038182303309,0.0001091512839777,35932,87732,0.0109665
424,4,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.0037769638002,0.0001373061666033,35932,87719,0.010964875
425,5,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,502.2323998417705,0.0020301011030729,35932,87710,0.01096375
426,6,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,505.15980472415686,0.0002206083293921,35932,87729,0.010966125
427,7,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.3700379077345,0.0005328821624282,35932,87732,0.0109665
428,8,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,507.1506984978914,0.0005448602592072,35932,87724,0.0109655
429,9,200,20,40.0,sandwich,2,2.0,0.66,4.0,0.32,508.15449078939855,0.0002714030553707,35932,87730,0.01096625
440,0,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,632.6070921272039,0.0995054072784324,17966,43895,0.005486875
441,1,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,623.2606336120516,0.0995043618041757,17966,43892,0.0054865
442,2,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,624.4374409075826,0.0995083272949043,17966,43886,0.00548575
443,3,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,625.9396221097559,0.0995032988030304,17966,43889,0.005486125
444,4,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,630.6027373094112,0.0995003939669721,17966,43889,0.005486125
445,5,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,635.3495195973665,0.0995027355517231,17966,43896,0.005487
446,6,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,624.47339845635,0.0995028598324562,17966,43898,0.00548725
447,7,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,622.6465994678438,0.0995097303428652,17966,43896,0.005487
448,8,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,612.8528853971511,0.0995040100447614,17966,43895,0.005486875
449,9,200,10,10.0,sandwich,2,2.0,0.66,4.0,0.32,635.3583954237401,0.0995047115816824,17966,43880,0.005485
460,0,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,535.2016031686217,0.0010669776958216,17966,43897,0.005487125
461,1,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,534.3540539517999,0.0010520435842874,17966,43905,0.005488125
462,2,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,534.1129133291543,0.0016156887843606,17966,43895,0.005486875
463,3,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,534.2917666789144,0.0010249757283491,17966,43899,0.005487375
464,4,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,531.8186231274158,0.0011310984208727,17966,43892,0.0054865
465,5,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,532.8408816754818,0.0014207604272859,17966,43891,0.005486375
466,6,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,536.567582577467,0.001003384978174,17966,43896,0.005487
467,7,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,535.7501512207091,0.0010019399739494,17966,43902,0.00548775
468,8,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,536.5506484247744,0.0011679539139771,17966,43894,0.00548675
469,9,200,10,30.0,sandwich,2,2.0,0.66,4.0,0.32,536.2331313155591,0.0010637505368915,17966,43898,0.00548725
520,0,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,535.9722915068269,0.0015082568454784,17966,43898,0.00548725
521,1,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,535.0040019806474,0.0002097018869945,17966,43898,0.00548725
522,2,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,537.1442125309259,0.00018218903427,17966,43894,0.00548675
523,3,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,536.3545202761889,0.000106877700871,17966,43889,0.005486125
524,4,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,536.6498530153185,0.0016915949437342,17966,43900,0.0054875
525,5,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,535.1499338466674,3.564411883114275e-05,17966,43905,0.005488125
526,6,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,538.1248168572783,0.0001479035646774,17966,43906,0.00548825
527,7,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,540.6988513786346,0.0001587833019002,17966,43898,0.00548725
528,8,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,539.307130118832,0.0002197226206386,17966,43891,0.005486375
529,9,200,10,50.0,sandwich,2,2.0,0.66,4.0,0.32,538.3193686716259,0.0001525682363762,17966,43896,0.005487
600,0,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,660.7458772864193,0.0100052946404908,17966,43886,0.00548575
601,1,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,570.2555363625288,0.0100007783247909,17966,43905,0.005488125
602,2,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,586.3726204261184,0.0100353621843097,17966,43907,0.005488375
603,3,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,586.5437397733331,0.0100004428421254,17966,43890,0.00548625
604,4,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,577.6842078287154,0.0100021934470041,17966,43895,0.005486875
605,5,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,576.0282993745059,0.0100123814327594,17966,43898,0.00548725
606,6,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,590.0159532111138,0.0099995526158571,17966,43894,0.00548675
607,7,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,588.0309788770974,0.0100003052451896,17966,43897,0.005487125
608,8,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,587.2914577964693,0.0100000210276131,17966,43891,0.005486375
609,9,200,10,20.0,sandwich,2,2.0,0.66,4.0,0.32,583.3267642278224,0.0104533500571878,17966,43893,0.005486625
630,0,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,535.7730147670954,2.1483782663725253e-05,17966,43886,0.00548575
631,1,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,536.8237759321928,0.000391090472334,17966,43893,0.005486625
632,2,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,536.3033279087394,9.701044761858888e-05,17966,43898,0.00548725
633,3,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,534.6965577080846,0.0001373393264445,17966,43893,0.005486625
634,4,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,536.1295679565519,0.0002142719233308,17966,43899,0.005487375
635,5,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,536.8911122530699,0.0004364166366001,17966,43888,0.005486
636,6,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,537.4045632164925,6.488209862983373e-05,17966,43892,0.0054865
637,7,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,537.1633280646056,0.0001334431155348,17966,43900,0.0054875
638,8,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,538.0709753893316,0.000181881922027,17966,43896,0.005487
639,9,200,10,60.0,sandwich,2,2.0,0.66,4.0,0.32,537.5938073005527,0.0010429053111874,17966,43894,0.00548675
