,trial,n,r,SNR,mode,alpha,slices,beta,delta,gamma,max_iter,total budget,revealed,time,rel_error_sand,rel_error_tc_final
116,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,873.3641117531806,0.0001721636537158,2.3741755586196023e-05
117,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,872.5548259317875,0.0001716926308448,1.4107109902949137e-05
118,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,887.8219766505063,5.905987469812269e-05,1.9932166512971205e-05
119,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.5,10,91880,0.011485,878.5292617399246,8.915449911602577e-05,9.279564449461776e-05
120,0,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58991,0.007373875,519.6138446535915,0.0050592502764562,3.800941160015498e-09
121,1,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58998,0.00737475,522.0527121741325,2.270257450653244e-05,1.7081560340957362e-08
122,2,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58990,0.00737375,524.9351573288441,3.3264549979201075e-05,5.104952268344132e-08
123,3,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58994,0.00737425,527.6736702192575,4.062983303351949e-05,2.0138681098407932e-09
124,4,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58987,0.007373375,527.29758021608,0.0011657526872538,2.7069817778526873e-09
125,5,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58987,0.007373375,525.6194134559482,4.8448914525433925e-05,3.124478618780429e-09
126,6,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58995,0.007374375,525.5284559428692,2.83462287979911e-05,5.211706303418522e-09
127,7,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58990,0.00737375,529.2763558682054,9.5970437871437e-06,6.806590565962218e-09
128,8,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58996,0.0073745,526.2986197583377,2.73975588179802e-05,6.0015327060452325e-09
129,9,200,5,inf,kron_alt,2,2,0.66,4.0,0.98,10,58999,0.007374875,527.0220233090222,3.56257817339921e-05,6.01193164001043e-09
130,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62461,0.007807625,1548.865777623956,0.0010440908175993,0.0329039081757311
131,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62444,0.0078055,1536.5306554409908,0.0021071863374936,0.0273063001112469
132,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62456,0.007807,1598.2900591989746,9.343857402689554e-05,0.0423964683374903
133,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62464,0.007808,1572.1937777240528,0.0001685690488553,0.0223963495701748
134,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62463,0.007807875,1596.802716957056,0.0001909649199798,0.0291488820652939
135,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62449,0.007806125,1558.070909893955,0.0003406444913601,0.0646415024632039
136,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62454,0.00780675,1559.321155461017,0.0012255417177851,0.0997673558502974
137,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62450,0.00780625,1559.629696637974,0.0003186528090948,0.0217794536531712
138,8,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62427,0.007803375,1537.077406347962,0.0017380175811705,0.0268290049136576
139,9,200,15,inf,kron_alt,2,2,0.66,4.0,0.3,10,62452,0.0078065,1562.2599518708885,0.0002853914646147,0.0246032583061288
140,0,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66852,0.0083565,515.0623908005655,0.0001779188089147,8.943563072430782e-10
141,1,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66851,0.008356375,512.2211613375694,0.0001529914928661,1.332971545595515e-09
142,2,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66853,0.008356625,512.8273309394717,5.4299476692684014e-05,1.857037680472522e-09
143,3,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66848,0.008356,510.8175947964192,0.0002439430696933,1.7485909263955004e-09
144,4,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66847,0.008355875,513.9724233858287,5.517006630443212e-06,1.0521586838892456e-09
145,5,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66846,0.00835575,513.9725993741304,4.138776032455599e-05,1.9691524620653366e-09
146,6,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66853,0.008356625,505.7834636773914,5.796151675600506e-05,2.049804426412585e-09
147,7,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66856,0.008357,504.4346773959696,0.000100942328493,6.484815137372348e-10
148,8,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66846,0.00835575,512.1909575145692,0.0001777259503244,2.8741768038016583e-09
149,9,200,5,inf,kron_alt,2,2,0.66,4.0,1.12,10,66848,0.008356,512.5213577430695,2.9117686100997656e-05,2.784894188265088e-09
150,0,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31558,0.00394475,660.5428317617625,0.0009922751539797,0.05906161965338
151,1,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31551,0.003943875,661.2675639428198,0.0003150312167295,0.0325887304648822
152,2,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31554,0.00394425,660.5191287361085,0.0024147791241023,0.0323267153247397
153,3,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31542,0.00394275,659.6528321839869,0.0020101501463403,0.0195712500512569
154,4,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31557,0.003944625,660.4958016760647,6.794612023628641e-05,0.0242693139854653
155,5,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31556,0.0039445,660.2816589437425,0.000639545833003,0.0376254870086001
156,6,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31553,0.003944125,658.8280505929142,0.0020674264988521,0.0396494054321913
157,7,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31561,0.003945125,664.634275117889,0.001116156314034,0.0340741741092347
158,8,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31555,0.003944375,662.5492909047753,0.0021329278107385,0.0324984831560052
159,9,200,10,inf,kron_alt,2,2,0.66,4.0,0.21,10,31553,0.003944125,661.1247198786587,0.0004902889193095,0.0396282144517346
160,0,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45635,0.005704375,928.6252794843168,0.0051787162147666,423.3303471810143
161,1,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45631,0.005703875,906.2555900160224,0.0036223394816917,93.18173392018645
162,2,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45635,0.005704375,922.302674593404,0.0036265989521937,1239.692471655172
163,3,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45642,0.00570525,926.2701173517852,0.0028323627333324,96.1079303901906
164,4,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45633,0.005704125,914.1629431210458,0.0021008427232313,70.09482990904127
165,5,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45631,0.005703875,919.351462226361,0.0020494381855012,70.85091259119811
166,6,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45633,0.005704125,925.7979048024864,0.0007222695345403,107.32271546241924
167,7,200,15,inf,kron_alt,2,2,0.66,4.0,0.2,10,45633,0.005704125,921.7543214187026,0.0051392093802226,66.46500835102971
