,trial,n,r,SNR,mode,slices,alpha,beta,delta,gamma,max_iter,time,rel_error_sandwich,matrix budget,total budget,revealed,rel_error_post_als,rel_error_just_als
216,6,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,650.1741653329227,0.0010005601088613,8983,21958,0.00274475,3.411955015827777e-05,0.0941285545113893
217,7,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,640.3241097800201,0.0010129046348117,8983,21958,0.00274475,2.852365682046829e-05,0.0849022739977914
218,8,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,653.240696631954,0.0010020399310095,8983,21956,0.0027445,3.5796804114086787e-05,0.0937217939584926
219,9,200,5,30,sand_als,2,2,0.66,4.0,0.32,100,635.3647689860081,0.0010046385442448,8983,21949,0.002743625,3.1309901331462484e-05,0.0913609446543578
220,0,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,682.131639668718,0.0003198213150346,26949,65820,0.0082275,8.105920888910264e-05,0.0593982971431878
221,1,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,722.539391502738,0.0025656697146617,26949,65824,0.008228,0.0003528635834585,0.0701923549609167
222,2,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,612.9839698951691,0.000121116751512,26949,65817,0.008227125,3.0513280007450254e-05,0.0620155447790201
223,3,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,636.0173279680312,0.0001853041972915,26949,65827,0.008228375,2.656212590509832e-05,0.061636838814194
224,4,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,717.2563204057515,0.0015806054000072,26949,65828,0.0082285,0.0003016257510626,0.0609740401985256
225,5,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,638.6111373733729,0.0001712630861931,26949,65831,0.008228875,4.553327012546145e-05,0.0611667914614237
226,6,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,666.1817167829722,0.0002235372577725,26949,65813,0.008226625,7.486935324359738e-05,0.0604535378828526
227,7,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,713.7571824193001,0.0008325178748256,26949,65823,0.008227875,0.000127166151703,0.0618464460877489
228,8,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,628.8413868173957,0.0001703248940071,26949,65816,0.008227,2.904890004908719e-05,0.0603521902381258
229,9,200,15,40,sand_als,2,2,0.66,4.0,0.32,100,713.3808829728514,0.0027871573764504,26949,65823,0.008227875,0.0012640401334638,0.0632569705213778
230,0,200,10,40,sand_als,2,2,0.66,4.0,0.32,100,535.0147516634315,0.0001401320694507,17966,43900,0.0054875,2.9745326516328336e-05,0.0750301513167709
231,1,200,10,40,sand_als,2,2,0.66,4.0,0.32,100,528.1736990194768,0.0001030798553746,17966,43894,0.00548675,1.077822300224247e-05,0.0724050224297506
232,2,200,10,40,sand_als,2,2,0.66,4.0,0.32,100,589.359911127016,0.0099256120496692,17966,43885,0.005485625,0.003671504173603,0.074002477756711
233,3,200,10,40,sand_als,2,2,0.66,4.0,0.32,100,557.386203031987,0.0003062341807411,17966,43892,0.0054865,5.662613870593234e-05,0.0751270970670294
234,4,200,10,40,sand_als,2,2,0.66,4.0,0.32,100,532.5376633722335,0.0002063445615351,17966,43884,0.0054855,3.83927715736622e-05,0.0757746163187812
235,5,200,10,40,sand_als,2,2,0.66,4.0,0.32,100,558.3417789470404,0.0002767103171227,17966,43893,0.005486625,0.0001025927366712,0.0771009691697675
